file_flat0,raft_sensor,file_flat1
MC_C_20211207_000812_R11_S11.fits,R11_S11,MC_C_20211207_000813_R11_S11.fits
MC_C_20211207_000812_R14_S22.fits,R14_S22,MC_C_20211207_000813_R14_S22.fits
MC_C_20211207_000812_R01_S11.fits,R01_S11,MC_C_20211207_000813_R01_S11.fits
MC_C_20211207_000812_R21_S10.fits,R21_S10,MC_C_20211207_000813_R21_S10.fits
MC_C_20211207_000812_R34_S20.fits,R34_S20,MC_C_20211207_000813_R34_S20.fits
MC_C_20211207_000812_R30_S10.fits,R30_S10,MC_C_20211207_000813_R30_S10.fits
MC_C_20211207_000812_R12_S00.fits,R12_S00,MC_C_20211207_000813_R12_S00.fits
MC_C_20211207_000812_R12_S11.fits,R12_S11,MC_C_20211207_000813_R12_S11.fits
MC_C_20211207_000812_R41_S01.fits,R41_S01,MC_C_20211207_000813_R41_S01.fits
MC_C_20211207_000812_R12_S22.fits,R12_S22,MC_C_20211207_000813_R12_S22.fits
MC_C_20211207_000812_R43_S12.fits,R43_S12,MC_C_20211207_000813_R43_S12.fits
MC_C_20211207_000812_R42_S22.fits,R42_S22,MC_C_20211207_000813_R42_S22.fits
MC_C_20211207_000812_R30_S02.fits,R30_S02,MC_C_20211207_000813_R30_S02.fits
MC_C_20211207_000812_R11_S12.fits,R11_S12,MC_C_20211207_000813_R11_S12.fits
MC_C_20211207_000812_R23_S01.fits,R23_S01,MC_C_20211207_000813_R23_S01.fits
MC_C_20211207_000812_R11_S10.fits,R11_S10,MC_C_20211207_000813_R11_S10.fits
MC_C_20211207_000812_R43_S20.fits,R43_S20,MC_C_20211207_000813_R43_S20.fits
MC_C_20211207_000812_R31_S01.fits,R31_S01,MC_C_20211207_000813_R31_S01.fits
MC_C_20211207_000812_R44_SG0.fits,R44_SG0,MC_C_20211207_000813_R44_SG0.fits
MC_C_20211207_000812_R03_S22.fits,R03_S22,MC_C_20211207_000813_R03_S22.fits
MC_C_20211207_000812_R23_S12.fits,R23_S12,MC_C_20211207_000813_R23_S12.fits
MC_C_20211207_000812_R22_S22.fits,R22_S22,MC_C_20211207_000813_R22_S22.fits
MC_C_20211207_000812_R02_S10.fits,R02_S10,MC_C_20211207_000813_R02_S10.fits
MC_C_20211207_000812_R41_S22.fits,R41_S22,MC_C_20211207_000813_R41_S22.fits
MC_C_20211207_000812_R30_S12.fits,R30_S12,MC_C_20211207_000813_R30_S12.fits
