file_flat0,raft_sensor,file_flat1
MC_C_20211206_000747_R20_S21.fits,R20_S21,MC_C_20211206_000748_R20_S21.fits
MC_C_20211206_000747_R31_S20.fits,R31_S20,MC_C_20211206_000748_R31_S20.fits
MC_C_20211206_000747_R01_S11.fits,R01_S11,MC_C_20211206_000748_R01_S11.fits
MC_C_20211206_000747_R02_S01.fits,R02_S01,MC_C_20211206_000748_R02_S01.fits
MC_C_20211206_000747_R32_S11.fits,R32_S11,MC_C_20211206_000748_R32_S11.fits
MC_C_20211206_000747_R33_S12.fits,R33_S12,MC_C_20211206_000748_R33_S12.fits
MC_C_20211206_000747_R30_S12.fits,R30_S12,MC_C_20211206_000748_R30_S12.fits
MC_C_20211206_000747_R10_S22.fits,R10_S22,MC_C_20211206_000748_R10_S22.fits
MC_C_20211206_000747_R24_S20.fits,R24_S20,MC_C_20211206_000748_R24_S20.fits
MC_C_20211206_000747_R34_S22.fits,R34_S22,MC_C_20211206_000748_R34_S22.fits
MC_C_20211206_000747_R03_S21.fits,R03_S21,MC_C_20211206_000748_R03_S21.fits
MC_C_20211206_000747_R44_SW0.fits,R44_SW0,MC_C_20211206_000748_R44_SW0.fits
MC_C_20211206_000747_R02_S20.fits,R02_S20,MC_C_20211206_000748_R02_S20.fits
MC_C_20211206_000747_R13_S12.fits,R13_S12,MC_C_20211206_000748_R13_S12.fits
MC_C_20211206_000747_R41_S00.fits,R41_S00,MC_C_20211206_000748_R41_S00.fits
MC_C_20211206_000747_R31_S01.fits,R31_S01,MC_C_20211206_000748_R31_S01.fits
MC_C_20211206_000747_R43_S10.fits,R43_S10,MC_C_20211206_000748_R43_S10.fits
MC_C_20211206_000747_R43_S21.fits,R43_S21,MC_C_20211206_000748_R43_S21.fits
MC_C_20211206_000747_R40_SW0.fits,R40_SW0,MC_C_20211206_000748_R40_SW0.fits
MC_C_20211206_000747_R42_S12.fits,R42_S12,MC_C_20211206_000748_R42_S12.fits
MC_C_20211206_000747_R40_SW1.fits,R40_SW1,MC_C_20211206_000748_R40_SW1.fits
MC_C_20211206_000747_R43_S12.fits,R43_S12,MC_C_20211206_000748_R43_S12.fits
MC_C_20211206_000747_R34_S20.fits,R34_S20,MC_C_20211206_000748_R34_S20.fits
MC_C_20211206_000747_R03_S22.fits,R03_S22,MC_C_20211206_000748_R03_S22.fits
MC_C_20211206_000747_R22_S21.fits,R22_S21,MC_C_20211206_000748_R22_S21.fits
MC_C_20211206_000747_R03_S01.fits,R03_S01,MC_C_20211206_000748_R03_S01.fits
MC_C_20211206_000747_R31_S22.fits,R31_S22,MC_C_20211206_000748_R31_S22.fits
MC_C_20211206_000747_R42_S10.fits,R42_S10,MC_C_20211206_000748_R42_S10.fits
MC_C_20211206_000747_R30_S22.fits,R30_S22,MC_C_20211206_000748_R30_S22.fits
MC_C_20211206_000747_R04_SG1.fits,R04_SG1,MC_C_20211206_000748_R04_SG1.fits
MC_C_20211206_000747_R20_S20.fits,R20_S20,MC_C_20211206_000748_R20_S20.fits
MC_C_20211206_000747_R11_S11.fits,R11_S11,MC_C_20211206_000748_R11_S11.fits
MC_C_20211206_000747_R33_S22.fits,R33_S22,MC_C_20211206_000748_R33_S22.fits
MC_C_20211206_000747_R22_S01.fits,R22_S01,MC_C_20211206_000748_R22_S01.fits
MC_C_20211206_000747_R21_S02.fits,R21_S02,MC_C_20211206_000748_R21_S02.fits
MC_C_20211206_000747_R11_S12.fits,R11_S12,MC_C_20211206_000748_R11_S12.fits
MC_C_20211206_000747_R00_SW0.fits,R00_SW0,MC_C_20211206_000748_R00_SW0.fits
MC_C_20211207_000050_R00_SG0.fits,R00_SG0,MC_C_20211207_000051_R00_SG0.fits
MC_C_20211207_000050_R32_S10.fits,R32_S10,MC_C_20211207_000051_R32_S10.fits
MC_C_20211207_000050_R02_S10.fits,R02_S10,MC_C_20211207_000051_R02_S10.fits
MC_C_20211207_000050_R23_S12.fits,R23_S12,MC_C_20211207_000051_R23_S12.fits
MC_C_20211207_000050_R21_S20.fits,R21_S20,MC_C_20211207_000051_R21_S20.fits
MC_C_20211207_000050_R30_S12.fits,R30_S12,MC_C_20211207_000051_R30_S12.fits
MC_C_20211207_000050_R02_S00.fits,R02_S00,MC_C_20211207_000051_R02_S00.fits
MC_C_20211207_000050_R02_S01.fits,R02_S01,MC_C_20211207_000051_R02_S01.fits
MC_C_20211207_000050_R10_S02.fits,R10_S02,MC_C_20211207_000051_R10_S02.fits
MC_C_20211207_000050_R20_S11.fits,R20_S11,MC_C_20211207_000051_R20_S11.fits
MC_C_20211207_000050_R11_S10.fits,R11_S10,MC_C_20211207_000051_R11_S10.fits
MC_C_20211207_000050_R21_S00.fits,R21_S00,MC_C_20211207_000051_R21_S00.fits
MC_C_20211207_000050_R10_S12.fits,R10_S12,MC_C_20211207_000051_R10_S12.fits
MC_C_20211207_000050_R04_SG0.fits,R04_SG0,MC_C_20211207_000051_R04_SG0.fits
MC_C_20211207_000050_R43_S11.fits,R43_S11,MC_C_20211207_000051_R43_S11.fits
MC_C_20211207_000050_R11_S00.fits,R11_S00,MC_C_20211207_000051_R11_S00.fits
MC_C_20211207_000050_R14_S00.fits,R14_S00,MC_C_20211207_000051_R14_S00.fits
MC_C_20211207_000050_R11_S02.fits,R11_S02,MC_C_20211207_000051_R11_S02.fits
MC_C_20211207_000050_R13_S00.fits,R13_S00,MC_C_20211207_000051_R13_S00.fits
MC_C_20211207_000050_R32_S21.fits,R32_S21,MC_C_20211207_000051_R32_S21.fits
MC_C_20211207_000050_R43_S21.fits,R43_S21,MC_C_20211207_000051_R43_S21.fits
MC_C_20211207_000050_R03_S10.fits,R03_S10,MC_C_20211207_000051_R03_S10.fits
